,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.6043956043956044,0.5913978494623656,0.5978260869565217,93.0
Neurology,0.32608695652173914,0.379746835443038,0.3508771929824562,79.0
Urology,0.75,0.559322033898305,0.6407766990291263,59.0
Radiology,0.09090909090909091,0.08823529411764706,0.08955223880597016,68.0
Psychiatry / Psychology,0.9354838709677419,0.9354838709677419,0.9354838709677419,93.0
Pediatrics - Neonatal,0.10526315789473684,0.11764705882352941,0.1111111111111111,17.0
Orthopedic,0.5822784810126582,0.5168539325842697,0.5476190476190478,89.0
Ophthalmology,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
Obstetrics / Gynecology,0.5,0.48717948717948717,0.49350649350649345,39.0
Hematology - Oncology,0.11538461538461539,0.13043478260869565,0.12244897959183673,23.0
Gastroenterology,0.4714285714285714,0.5892857142857143,0.5238095238095238,56.0
ENT - Otolaryngology,0.4090909090909091,0.375,0.3913043478260869,24.0
accuracy,0.5113464447806354,0.5113464447806354,0.5113464447806354,0.5113464447806354
macro avg,0.4670505809909484,0.4570727144713756,0.45988344220763583,661.0
weighted avg,0.5240329280214702,0.5113464447806354,0.5153210338874493,661.0
