,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.6990291262135923,0.7741935483870968,0.7346938775510204,93.0
Neurology,0.5833333333333334,0.7088607594936709,0.64,79.0
Urology,0.7846153846153846,0.864406779661017,0.8225806451612904,59.0
Radiology,0.328125,0.3088235294117647,0.3181818181818182,68.0
Psychiatry / Psychology,0.9583333333333334,0.989247311827957,0.9735449735449735,93.0
Pediatrics - Neonatal,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
Orthopedic,0.7303370786516854,0.7303370786516854,0.7303370786516854,89.0
Ophthalmology,1.0,0.8095238095238095,0.8947368421052632,21.0
Obstetrics / Gynecology,0.8157894736842105,0.7948717948717948,0.8051948051948051,39.0
Hematology - Oncology,0.5833333333333334,0.30434782608695654,0.4,23.0
Gastroenterology,0.8541666666666666,0.7321428571428571,0.7884615384615384,56.0
ENT - Otolaryngology,0.8947368421052632,0.7083333333333334,0.7906976744186046,24.0
accuracy,0.7246596066565809,0.7246596066565809,0.7246596066565809,0.7246596066565809
macro avg,0.7395547262328289,0.6878750327581521,0.7065895345467769,661.0
weighted avg,0.7266125489807672,0.7246596066565809,0.7216164357359202,661.0
