,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.6923076923076923,0.7741935483870968,0.7309644670050761,93.0
Neurology,0.5714285714285714,0.7088607594936709,0.632768361581921,79.0
Urology,0.7727272727272727,0.864406779661017,0.8159999999999998,59.0
Radiology,0.328125,0.3088235294117647,0.3181818181818182,68.0
Psychiatry / Psychology,0.956989247311828,0.956989247311828,0.956989247311828,93.0
Pediatrics - Neonatal,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
Orthopedic,0.7303370786516854,0.7303370786516854,0.7303370786516854,89.0
Ophthalmology,1.0,0.8095238095238095,0.8947368421052632,21.0
Obstetrics / Gynecology,0.8157894736842105,0.7948717948717948,0.8051948051948051,39.0
Hematology - Oncology,0.5833333333333334,0.30434782608695654,0.4,23.0
Gastroenterology,0.851063829787234,0.7142857142857143,0.7766990291262136,56.0
ENT - Otolaryngology,0.8947368421052632,0.7083333333333334,0.7906976744186046,24.0
accuracy,0.7186081694402421,0.7186081694402421,0.7186081694402421,0.7186081694402421
macro avg,0.7366412903495195,0.683698765477046,0.7027678737389614,661.0
weighted avg,0.7227309650013848,0.7186081694402421,0.7163142031447282,661.0
