,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.5384615384615384,0.6021505376344086,0.5685279187817259,93.0
Neurology,0.4166666666666667,0.12658227848101267,0.1941747572815534,79.0
Urology,0.8214285714285714,0.3898305084745763,0.5287356321839081,59.0
Radiology,0.2681818181818182,0.8676470588235294,0.40972222222222227,68.0
Psychiatry / Psychology,1.0,0.7419354838709677,0.8518518518518519,93.0
Pediatrics - Neonatal,0.6666666666666666,0.11764705882352941,0.2,17.0
Orthopedic,0.7608695652173914,0.39325842696629215,0.5185185185185185,89.0
Ophthalmology,1.0,0.6190476190476191,0.7647058823529412,21.0
Obstetrics / Gynecology,0.8695652173913043,0.5128205128205128,0.6451612903225806,39.0
Hematology - Oncology,1.0,0.08695652173913043,0.16,23.0
Gastroenterology,0.28695652173913044,0.5892857142857143,0.3859649122807018,56.0
ENT - Otolaryngology,1.0,0.5833333333333334,0.7368421052631579,24.0
accuracy,0.5083207261724659,0.5083207261724659,0.5083207261724659,0.5083207261724659
macro avg,0.7190663804794241,0.46920792119171884,0.4970170909215968,661.0
weighted avg,0.6652459492096406,0.5083207261724659,0.5147324440518952,661.0
