,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.5490196078431373,0.6021505376344086,0.5743589743589743,93.0
Neurology,0.4,0.12658227848101267,0.19230769230769232,79.0
Urology,0.8214285714285714,0.3898305084745763,0.5287356321839081,59.0
Radiology,0.26576576576576577,0.8676470588235294,0.40689655172413797,68.0
Psychiatry / Psychology,1.0,0.6989247311827957,0.8227848101265823,93.0
Pediatrics - Neonatal,0.6666666666666666,0.11764705882352941,0.2,17.0
Orthopedic,0.7446808510638298,0.39325842696629215,0.5147058823529412,89.0
Ophthalmology,1.0,0.6190476190476191,0.7647058823529412,21.0
Obstetrics / Gynecology,0.8695652173913043,0.5128205128205128,0.6451612903225806,39.0
Hematology - Oncology,1.0,0.08695652173913043,0.16,23.0
Gastroenterology,0.28205128205128205,0.5892857142857143,0.3815028901734104,56.0
ENT - Otolaryngology,1.0,0.5833333333333334,0.7368421052631579,24.0
accuracy,0.5022692889561271,0.5022692889561271,0.5022692889561271,0.5022692889561271
macro avg,0.7165981635175465,0.46562369180103785,0.4940001425971939,661.0
weighted avg,0.6618956515384514,0.5022692889561271,0.5100580290816753,661.0
