,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.549618320610687,0.7741935483870968,0.6428571428571429,93.0
Neurology,0.39285714285714285,0.4177215189873418,0.40490797546012275,79.0
Urology,0.6610169491525424,0.6610169491525424,0.6610169491525424,59.0
Radiology,0.08064516129032258,0.07352941176470588,0.07692307692307693,68.0
Psychiatry / Psychology,0.9782608695652174,0.967741935483871,0.972972972972973,93.0
Pediatrics - Neonatal,0.2857142857142857,0.23529411764705882,0.2580645161290323,17.0
Orthopedic,0.6020408163265306,0.6629213483146067,0.6310160427807486,89.0
Ophthalmology,1.0,0.6666666666666666,0.8,21.0
Obstetrics / Gynecology,0.7297297297297297,0.6923076923076923,0.7105263157894737,39.0
Hematology - Oncology,0.0,0.0,0.0,23.0
Gastroenterology,0.6808510638297872,0.5714285714285714,0.6213592233009708,56.0
ENT - Otolaryngology,0.7368421052631579,0.5833333333333334,0.6511627906976745,24.0
accuracy,0.5885022692889561,0.5885022692889561,0.5885022692889561,0.5885022692889561
macro avg,0.558131370361617,0.525512924456124,0.5359005838386465,661.0
weighted avg,0.5768872239187032,0.5885022692889561,0.5778710657237336,661.0
