,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.5413533834586466,0.7741935483870968,0.6371681415929203,93.0
Neurology,0.345679012345679,0.35443037974683544,0.35,79.0
Urology,0.7454545454545455,0.6949152542372882,0.7192982456140351,59.0
Radiology,0.09230769230769231,0.08823529411764706,0.09022556390977443,68.0
Psychiatry / Psychology,0.978021978021978,0.956989247311828,0.967391304347826,93.0
Pediatrics - Neonatal,0.26666666666666666,0.23529411764705882,0.25,17.0
Orthopedic,0.5789473684210527,0.6179775280898876,0.5978260869565217,89.0
Ophthalmology,1.0,0.7142857142857143,0.8333333333333333,21.0
Obstetrics / Gynecology,0.7428571428571429,0.6666666666666666,0.7027027027027027,39.0
Hematology - Oncology,0.16666666666666666,0.043478260869565216,0.06896551724137931,23.0
Gastroenterology,0.660377358490566,0.625,0.6422018348623852,56.0
ENT - Otolaryngology,0.7058823529411765,0.5,0.5853658536585366,24.0
accuracy,0.5809379727685325,0.5809379727685325,0.5809379727685325,0.5809379727685325
macro avg,0.5686845139693177,0.522622167613299,0.5370398820182846,661.0
weighted avg,0.5789047071488302,0.5809379727685325,0.5739911960525993,661.0
