,precision,recall,f1-score,support
Cardiovascular / Pulmonary,0.6633663366336634,0.7204301075268817,0.6907216494845362,93.0
Neurology,0.45977011494252873,0.5063291139240507,0.4819277108433735,79.0
Urology,0.7833333333333333,0.7966101694915254,0.7899159663865546,59.0
Radiology,0.17105263157894737,0.19117647058823528,0.18055555555555555,68.0
Psychiatry / Psychology,0.978494623655914,0.978494623655914,0.978494623655914,93.0
Pediatrics - Neonatal,0.5,0.47058823529411764,0.48484848484848486,17.0
Orthopedic,0.6630434782608695,0.6853932584269663,0.6740331491712707,89.0
Ophthalmology,1.0,0.8095238095238095,0.8947368421052632,21.0
Obstetrics / Gynecology,0.7435897435897436,0.7435897435897436,0.7435897435897437,39.0
Hematology - Oncology,0.45454545454545453,0.21739130434782608,0.29411764705882354,23.0
Gastroenterology,0.8297872340425532,0.6964285714285714,0.7572815533980581,56.0
ENT - Otolaryngology,0.7727272727272727,0.7083333333333334,0.7391304347826088,24.0
accuracy,0.6565809379727685,0.6565809379727685,0.6565809379727685,0.6565809379727685
macro avg,0.6683091852758567,0.6270240617609145,0.6424461134066822,661.0
weighted avg,0.6654192264342298,0.6565809379727685,0.6582824112913426,661.0
